type_id,lat,lng,type,id,district
54,30.6694247178738,104.049547719797,pk,43,青羊区
55,30.6868221245846,104.049310222809,pk,44,金牛区
56,30.7087421037103,104.050727094392,pk,45,金牛区
57,30.6764772577372,104.052435853864,pk,46,青羊区
58,30.6759949684403,104.053629997196,pk,47,青羊区
60,30.6743536584124,104.051953180827,pk,48,青羊区
61,30.6908893134434,104.05051853723,pk,49,金牛区
63,30.6913236905836,104.052627074743,pk,50,金牛区
65,30.6583240610453,104.053875238699,pk,51,青羊区
67,30.6712395956656,104.05303927651,pk,52,青羊区
69,30.674747485244,104.053890338099,pk,53,青羊区
71,30.6822294898372,104.055316363639,pk,54,金牛区
72,30.6777149115799,104.057263996258,pk,55,青羊区
75,30.6730090087088,104.057771778376,pk,56,青羊区
76,30.6736931986801,104.068206228909,pk,57,青羊区
77,30.6618476709041,104.060119235171,pk,58,青羊区
79,30.6588067070993,104.059639944796,pk,59,青羊区
82,30.6693657488716,104.058993364899,pk,60,青羊区
83,30.6851751951665,104.061963566078,pk,61,金牛区
84,30.6915726698608,104.063081455915,pk,62,金牛区
85,30.7035574823618,104.061406091164,pk,63,金牛区
88,30.7072131837752,104.060909333848,pk,64,金牛区
89,30.7054622752485,104.06125027981,pk,65,金牛区
90,30.7035257307595,104.060655621465,pk,66,金牛区
91,30.7071279057122,104.060920193288,pk,67,金牛区
92,30.6619717300229,104.060116033047,pk,68,青羊区
93,30.6970417753364,104.060020745253,pk,69,金牛区
96,30.6854002779952,104.06385746759,pk,70,金牛区
98,30.7084210706483,104.063559975623,pk,71,金牛区
100,30.7114377809747,104.064072670944,pk,72,金牛区
101,30.709684550314,104.065316254317,pk,73,金牛区
102,30.6889346263248,104.063715385053,pk,74,金牛区
103,30.7051881681208,104.062776130971,pk,75,金牛区
104,30.7022165171028,104.06402380892,pk,76,金牛区
105,30.6976316683942,104.06390673537,pk,77,金牛区
108,30.672645342099,104.064461851582,pk,78,青羊区
109,30.7118684519804,104.064145153783,pk,79,金牛区
111,30.7151929141346,104.064681197346,pk,80,金牛区
112,30.7070403144077,104.064029069793,pk,81,金牛区
113,30.7097691438046,104.065334528549,pk,82,金牛区
114,30.7103285971665,104.06541681321,pk,83,金牛区
115,30.7106699571185,104.067027755306,pk,84,金牛区
116,30.7228641014545,104.066235543445,pk,85,金牛区
117,30.6614593492652,104.066408222607,pk,86,青羊区
119,30.7025602765942,104.066692926222,pk,87,金牛区
120,30.6772262802347,104.069112431256,pk,88,青羊区
121,30.7102307878715,104.06697815909,pk,89,金牛区
122,30.6588717973796,104.065206789228,pk,90,锦江区
123,30.7106045534,104.067184034317,pk,91,成华区
124,30.7099090842112,104.068802710725,pk,92,成华区
125,30.7099848875631,104.065366466947,pk,93,金牛区
126,30.7072804552588,104.067518145619,pk,94,金牛区
127,30.6911505555205,104.067164175654,pk,95,金牛区
128,30.6878939235821,104.070670197154,pk,96,金牛区
129,30.6948168032639,104.069641440304,pk,97,金牛区
130,30.6927497855372,104.067179077085,pk,98,金牛区
131,30.7124024077038,104.068089322781,pk,99,金牛区
134,30.6690833059717,104.068136625769,pk,100,青羊区
135,30.6851008635984,104.068583104988,pk,101,金牛区
137,30.6579005590511,104.06714240896,pk,102,锦江区
140,30.7074321261938,104.069639474991,pk,103,成华区
142,30.7051521773226,104.070959279471,pk,104,成华区
143,30.7121029175847,104.069707690432,pk,105,成华区
144,30.7123591136234,104.068645097021,pk,106,金牛区
146,30.6769059648045,104.080430004095,pk,107,金牛区
147,30.668779527202,104.070611893765,pk,108,青羊区
148,30.6848872375899,104.069108683604,pk,109,金牛区
149,30.6819051967842,104.069581154913,pk,110,金牛区
150,30.6576151580206,104.069897852246,pk,111,锦江区
151,30.6714145965023,104.071217526874,pk,112,青羊区
152,30.6579191298293,104.0708581397,pk,113,锦江区
155,30.6948171112223,104.069608622899,pk,114,金牛区
156,30.6878950952183,104.070670327811,pk,115,金牛区
160,30.6955468460681,104.074325888686,pk,116,金牛区
162,30.6619088374345,104.060117860258,pk,117,青羊区
163,30.7078548473452,104.071372799033,pk,118,成华区
164,30.7090936035278,104.071110977284,pk,119,成华区
165,30.7088007370716,104.072208629537,pk,120,成华区
166,30.6714133696174,104.073148491703,pk,121,青羊区
167,30.7122198809511,104.070632117017,pk,122,成华区
169,30.7051969413176,104.066817757187,pk,123,金牛区
171,30.6735835100665,104.072674317914,pk,124,青羊区
172,30.6657180133014,104.072996369895,pk,125,青羊区
173,30.6667046755467,104.074731278485,pk,126,青羊区
175,30.7028152941443,104.076374061071,pk,127,成华区
176,30.6706306406359,104.072928857325,pk,128,青羊区
179,30.7045618816604,104.07394622059,pk,129,成华区
