,date,hour,dayofweek,dayofyear,dayofmonth,weekofyear,temperature,dew_point,humidity,wind_speed,pressure,poi1,poi2,poi3,poi4,poi5,road_level,speed_limit,lat,lng,label
29942,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,1,6,1,5,5,44000,50,24.480007,118.104681,0
29943,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,1,6,1,5,5,44000,50,24.480007,118.104681,0
29944,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,6,1,5,5,44000,50,24.480007,118.104681,0
29945,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,6,1,5,5,44000,50,24.480007,118.104681,0
30662,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,1,5,1,3,3,-1,-1,24.480507,118.074707,0
30663,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,1,5,1,3,3,-1,-1,24.480507,118.074707,0
30664,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,5,1,3,3,-1,-1,24.480507,118.074707,0
30665,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,5,1,3,3,-1,-1,24.480507,118.074707,0
31382,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,1,0,1,9,9,-1,-1,24.482802,118.181329,0
31383,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,1,0,1,9,9,-1,-1,24.482802,118.181329,0
31384,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,0,1,9,9,-1,-1,24.482802,118.181329,0
31385,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,0,1,9,9,-1,-1,24.482802,118.181329,0
32102,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,1,0,4,4,-1,-1,24.483572,118.091167,1
32103,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,1,0,4,4,-1,-1,24.483572,118.091167,1
32104,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,1,0,4,4,-1,-1,24.483572,118.091167,0
32105,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,1,0,4,4,-1,-1,24.483572,118.091167,1
32822,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,7,4,7,7,-1,-1,24.485464,118.182546,0
32823,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,7,4,7,7,-1,-1,24.485464,118.182546,0
32824,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,7,4,7,7,-1,-1,24.485464,118.182546,0
32825,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,7,4,7,7,-1,-1,24.485464,118.182546,0
33542,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,1,0,3,3,44000,50,24.487382,118.091816,0
33543,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,1,0,3,3,44000,50,24.487382,118.091816,0
33544,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,1,0,3,3,44000,50,24.487382,118.091816,0
33545,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,1,0,3,3,44000,50,24.487382,118.091816,0
34262,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,8,6,14,14,-1,-1,24.487948,118.182953,0
34263,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,8,6,14,14,-1,-1,24.487948,118.182953,0
34264,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,8,6,14,14,-1,-1,24.487948,118.182953,0
34265,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,8,6,14,14,-1,-1,24.487948,118.182953,0
34982,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,10,7,14,14,-1,-1,24.488042999999998,118.18296799999999,0
34983,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,10,7,14,14,-1,-1,24.488042999999998,118.18296799999999,0
34984,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,10,7,14,14,-1,-1,24.488042999999998,118.18296799999999,0
34985,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,10,7,14,14,-1,-1,24.488042999999998,118.18296799999999,0
35702,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,4,0,6,16,16,45000,40,24.488216,118.181198,0
35703,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,4,0,6,16,16,45000,40,24.488216,118.181198,0
35704,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,4,0,6,16,16,45000,40,24.488216,118.181198,0
35705,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,4,0,6,16,16,45000,40,24.488216,118.181198,0
36422,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,1,1,2,2,-1,-1,24.48957,118.113051,0
36423,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,1,1,2,2,-1,-1,24.48957,118.113051,0
36424,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,1,1,2,2,-1,-1,24.48957,118.113051,0
36425,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,1,1,2,2,-1,-1,24.48957,118.113051,0
37142,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,2,0,2,2,44000,50,24.49287,118.097955,0
37143,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,2,0,2,2,44000,50,24.49287,118.097955,0
37144,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,2,0,2,2,44000,50,24.49287,118.097955,0
37145,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,2,0,2,2,44000,50,24.49287,118.097955,0
37862,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,9,2,1,1,45000,40,24.494131,118.11688799999999,0
37863,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,9,2,1,1,45000,40,24.494131,118.11688799999999,0
37864,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,9,2,1,1,45000,40,24.494131,118.11688799999999,0
37865,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,9,2,1,1,45000,40,24.494131,118.11688799999999,0
38582,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,0,0,1,1,-1,-1,24.494723999999998,118.18373999999999,1
38583,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,0,0,1,1,-1,-1,24.494723999999998,118.18373999999999,1
38584,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,0,0,1,1,-1,-1,24.494723999999998,118.18373999999999,2
38585,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,0,0,1,1,-1,-1,24.494723999999998,118.18373999999999,1
39302,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,1,9,2,12,12,45000,40,24.494932000000002,118.129379,0
39303,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,1,9,2,12,12,45000,40,24.494932000000002,118.129379,0
39304,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,9,2,12,12,45000,40,24.494932000000002,118.129379,0
39305,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,9,2,12,12,45000,40,24.494932000000002,118.129379,0
40022,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,6,2,5,5,44000,50,24.496093,118.10961,0
40023,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,6,2,5,5,44000,50,24.496093,118.10961,0
40024,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,6,2,5,5,44000,50,24.496093,118.10961,0
40025,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,6,2,5,5,44000,50,24.496093,118.10961,0
40742,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,3,6,3,4,4,-1,-1,24.496462,118.109477,0
40743,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,3,6,3,4,4,-1,-1,24.496462,118.109477,0
40744,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,3,6,3,4,4,-1,-1,24.496462,118.109477,0
40745,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,3,6,3,4,4,-1,-1,24.496462,118.109477,0
41462,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,7,2,2,2,47000,30,24.501107,118.11958,0
41463,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,7,2,2,2,47000,30,24.501107,118.11958,0
41464,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,7,2,2,2,47000,30,24.501107,118.11958,0
41465,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,7,2,2,2,47000,30,24.501107,118.11958,0
42182,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,4,1,2,2,45000,40,24.4711715,118.095533,0
42183,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,4,1,2,2,45000,40,24.4711715,118.095533,1
42184,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,4,1,2,2,45000,40,24.4711715,118.095533,0
42185,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,4,1,2,2,45000,40,24.4711715,118.095533,0
